created_at,symbol,name,price,currency,source
2024-05-09,ALI=F,Srebro,28.365,USD,investing_com
2024-05-08,ALI=F,Srebro,27.601,USD,investing_com
2024-05-07,ALI=F,Srebro,27.544,USD,investing_com
2024-05-06,ALI=F,Srebro,27.614,USD,investing_com
2024-05-02,ALI=F,Srebro,26.829,USD,investing_com
2024-05-01,ALI=F,Srebro,26.748,USD,investing_com
2024-04-30,ALI=F,Srebro,26.654,USD,investing_com
2024-04-29,ALI=F,Srebro,27.66,USD,investing_com
2024-04-25,ALI=F,Srebro,27.502,USD,investing_com
2024-04-24,ALI=F,Srebro,27.496,USD,investing_com
2024-04-23,ALI=F,Srebro,27.511,USD,investing_com
2024-04-22,ALI=F,Srebro,27.397,USD,investing_com
2024-04-18,ALI=F,Srebro,28.532,USD,investing_com
2024-04-17,ALI=F,Srebro,28.553,USD,investing_com
2024-04-16,ALI=F,Srebro,28.526,USD,investing_com
2024-04-15,ALI=F,Srebro,28.866,USD,investing_com
2024-04-11,ALI=F,Srebro,28.401,USD,investing_com
2024-04-10,ALI=F,Srebro,28.204,USD,investing_com
2024-04-09,ALI=F,Srebro,28.134,USD,investing_com
2024-04-08,ALI=F,Srebro,27.956,USD,investing_com
2024-04-04,ALI=F,Srebro,27.385,USD,investing_com
2024-04-03,ALI=F,Srebro,27.195,USD,investing_com
2024-04-02,ALI=F,Srebro,26.057,USD,investing_com
2024-04-01,ALI=F,Srebro,25.203,USD,investing_com
2024-03-27,ALI=F,Srebro,24.879,USD,investing_com
2024-03-26,ALI=F,Srebro,24.623,USD,investing_com
2024-03-25,ALI=F,Srebro,24.891,USD,investing_com
2024-03-21,ALI=F,Srebro,25.007,USD,investing_com
2024-03-20,ALI=F,Srebro,25.104,USD,investing_com
2024-03-19,ALI=F,Srebro,25.135,USD,investing_com
2024-03-18,ALI=F,Srebro,25.265,USD,investing_com
2024-03-14,ALI=F,Srebro,25.06,USD,investing_com
2024-03-13,ALI=F,Srebro,25.156,USD,investing_com
2024-03-12,ALI=F,Srebro,24.394,USD,investing_com
2024-03-11,ALI=F,Srebro,24.715,USD,investing_com
2024-03-07,ALI=F,Srebro,24.578,USD,investing_com
2024-03-06,ALI=F,Srebro,24.493,USD,investing_com
2024-03-05,ALI=F,Srebro,23.984,USD,investing_com
2024-03-04,ALI=F,Srebro,23.991,USD,investing_com
2024-02-29,ALI=F,Srebro,22.885,USD,investing_com
2024-02-28,ALI=F,Srebro,22.636,USD,investing_com
2024-02-27,ALI=F,Srebro,22.651,USD,investing_com
2024-02-26,ALI=F,Srebro,22.638,USD,investing_com
2024-02-22,ALI=F,Srebro,22.899,USD,investing_com
2024-02-21,ALI=F,Srebro,22.989,USD,investing_com
2024-02-20,ALI=F,Srebro,23.25,USD,investing_com
2024-02-18,ALI=F,Srebro,23.453,USD,investing_com
2024-02-15,ALI=F,Srebro,23.061,USD,investing_com
2024-02-14,ALI=F,Srebro,22.495,USD,investing_com
2024-02-13,ALI=F,Srebro,22.266,USD,investing_com
2024-02-12,ALI=F,Srebro,22.878,USD,investing_com
2024-02-08,ALI=F,Srebro,22.749,USD,investing_com
2024-02-07,ALI=F,Srebro,22.471,USD,investing_com
2024-02-06,ALI=F,Srebro,22.588,USD,investing_com
2024-02-05,ALI=F,Srebro,22.534,USD,investing_com
2024-02-01,ALI=F,Srebro,23.347,USD,investing_com
2024-01-31,ALI=F,Srebro,23.282,USD,investing_com
2024-01-30,ALI=F,Srebro,23.343,USD,investing_com
2024-01-29,ALI=F,Srebro,23.251,USD,investing_com
2024-01-25,ALI=F,Srebro,22.927,USD,investing_com
2024-01-24,ALI=F,Srebro,22.889,USD,investing_com
2024-01-23,ALI=F,Srebro,22.462,USD,investing_com
2024-01-22,ALI=F,Srebro,22.296,USD,investing_com
2024-01-18,ALI=F,Srebro,22.807,USD,investing_com
2024-01-17,ALI=F,Srebro,22.669,USD,investing_com
2024-01-16,ALI=F,Srebro,23.093,USD,investing_com
2024-01-14,ALI=F,Srebro,23.323,USD,investing_com
2024-01-11,ALI=F,Srebro,22.705,USD,investing_com
2024-01-10,ALI=F,Srebro,23.066,USD,investing_com
2024-01-09,ALI=F,Srebro,23.091,USD,investing_com
2024-01-08,ALI=F,Srebro,23.31,USD,investing_com
2024-01-04,ALI=F,Srebro,23.187,USD,investing_com
2024-01-03,ALI=F,Srebro,23.157,USD,investing_com
2024-01-02,ALI=F,Srebro,23.953,USD,investing_com
2024-01-01,ALI=F,Srebro,24.05,USD,investing_com
2023-12-28,ALI=F,Srebro,24.372,USD,investing_com
2023-12-27,ALI=F,Srebro,24.526,USD,investing_com
2023-12-26,ALI=F,Srebro,24.285,USD,investing_com
2023-12-25,ALI=F,Srebro,24.51,USD,investing_com
2023-12-21,ALI=F,Srebro,24.468,USD,investing_com
2023-12-20,ALI=F,Srebro,24.516,USD,investing_com
2023-12-19,ALI=F,Srebro,24.206,USD,investing_com
2023-12-18,ALI=F,Srebro,23.994,USD,investing_com
2023-12-14,ALI=F,Srebro,24.273,USD,investing_com
2023-12-13,ALI=F,Srebro,22.815,USD,investing_com
2023-12-12,ALI=F,Srebro,22.906,USD,investing_com
2023-12-11,ALI=F,Srebro,22.953,USD,investing_com
2023-12-07,ALI=F,Srebro,23.942,USD,investing_com
2023-12-06,ALI=F,Srebro,24.112,USD,investing_com
2023-12-05,ALI=F,Srebro,24.43,USD,investing_com
2023-12-04,ALI=F,Srebro,24.786,USD,investing_com
2023-11-30,ALI=F,Srebro,25.541,USD,investing_com
2023-11-29,ALI=F,Srebro,25.342,USD,investing_com
2023-11-28,ALI=F,Srebro,25.066,USD,investing_com
2023-11-27,ALI=F,Srebro,24.803,USD,investing_com
2023-11-22,ALI=F,Srebro,23.808,USD,investing_com
2023-11-21,ALI=F,Srebro,23.989,USD,investing_com
2023-11-20,ALI=F,Srebro,23.732,USD,investing_com
2023-11-16,ALI=F,Srebro,24.053,USD,investing_com
2023-11-15,ALI=F,Srebro,23.659,USD,investing_com
2023-11-14,ALI=F,Srebro,23.249,USD,investing_com
2023-11-13,ALI=F,Srebro,22.477,USD,investing_com
2023-11-09,ALI=F,Srebro,23.023,USD,investing_com
2023-11-08,ALI=F,Srebro,22.846,USD,investing_com
2023-11-07,ALI=F,Srebro,22.709,USD,investing_com
2023-11-06,ALI=F,Srebro,23.355,USD,investing_com
2023-11-02,ALI=F,Srebro,22.971,USD,investing_com
2023-11-01,ALI=F,Srebro,22.912,USD,investing_com
2023-10-31,ALI=F,Srebro,23.075,USD,investing_com
2023-10-30,ALI=F,Srebro,23.519,USD,investing_com
