Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
04.02.2025;34.65;34.375;34.95;31.73;155.00K;0.99%;;
04.01.2025;34.309;34.77;35.155;34.29;63.07K;-0.87%;;
03/31/2025;34.611;34.825;34.96;34.16;54.48K;-0.84%;;
03/27/2025;34.905;34.05;35.495;34.645;68.62K;2.50%;;
03/26/2025;34.054;34.075;35.405;34.125;79.60K;0.09%;;
03/25/2025;34.023;33.3;34.5;34.065;44.01K;1.71%;;
03/24/2025;33.45;33.54;34.365;33.43;46.64K;-1.59%;;
03/20/2025;33.991;34.425;34.135;33.165;53.51K;-0.63%;;
03/19/2025;34.205;34.64;34.595;33.615;50.53K;-1.76%;;
03/18/2025;34.818;34.38;34.79;34.11;50.63K;1.49%;;
03/17/2025;34.308;34.41;35;34.325;57.45K;0.01%;;
03/13/2025;34.306;33.725;34.86;34.14;60.18K;1.67%;;
03.12.2025;33.743;33.375;34.68;33.435;74.49K;1.80%;;
03.11.2025;33.147;32.46;33.815;33.18;57.66K;1.90%;;
03.10.2025;32.53;32.945;33.445;32.215;57.93K;-2.42%;;
03.06.2025;33.338;33.235;33.31;32.56;59.37K;0.62%;;
03.05.2025;33.134;32.56;33.38;32.86;51.41K;2.33%;;
03.04.2025;32.381;32.265;33.31;32.395;65.24K;0.22%;;
03.03.2025;32.31;31.715;32.66;32.03;50.89K;0.62%;;
02/27/2025;32.11;32.535;31.93;31.365;54.60K;-0.95%;;
02/26/2025;32.419;32.27;32.595;31.765;63.24K;1.39%;;
02/25/2025;31.976;32.89;32.3;31.79;36.52K;-2.40%;;
02/24/2025;32.763;33.045;32.79;31.6;72.76K;-2.16%;;
02/20/2025;33.486;33.15;33.54;32.81;63.37K;1.34%;;
02/19/2025;33.043;33.42;33.785;33.085;56.84K;-0.99%;;
02/18/2025;33.373;32.68;33.64;32.885;53.73K;1.98%;;
02/13/2025;32.726;32.71;34.24;32.585;107.87K;-0.18%;;
02.12.2025;32.785;32.255;33.045;32.455;56.02K;1.43%;;
02.11.2025;32.322;32.495;32.87;31.875;65.37K;-0.52%;;
02.10.2025;32.491;32.18;32.66;31.65;67.81K;-0.41%;;
02.06.2025;32.626;32.755;33.165;32.175;79.69K;-1.06%;;
02.05.2025;32.976;32.87;32.915;32.15;53.86K;-0.14%;;
02.04.2025;33.022;32.54;33.215;32.63;67.88K;1.52%;;
02.03.2025;32.526;32.46;33.195;32.225;61.87K;0.10%;;
01/30/2025;32.493;31.58;32.92;32.115;65.34K;3.93%;;
01/29/2025;31.264;30.78;32.815;31.56;68.27K;1.66%;;
01/28/2025;30.755;30.44;31.765;30.755;60.92K;1.56%;;
01/27/2025;30.283;30.615;30.96;30.235;38.93K;-1.40%;;
01/23/2025;30.712;31.18;31.685;30.825;49.24K;-2.25%;;
01/22/2025;31.42;31.555;31.395;30.465;66.71K;-0.24%;;
01/21/2025;31.496;31.085;31.71;31.115;41.70K;-0.72%;;
01/16/2025;31.725;31.6;31.64;30.91;49.19K;0.62%;;
01/15/2025;31.531;30.545;31.985;31.535;48.24K;3.89%;;
01/14/2025;30.351;30.305;31.65;30.37;51.15K;0.14%;;
01/13/2025;30.309;31.305;30.58;30.115;41.98K;-2.28%;;
01.09.2025;31.015;30.73;31.84;30.7;65.41K;1.06%;;
